org_id remap_id freebase_id
0553092626 0 m.045wq1q
0393316041 1 m.03_28m
038548254X 2 m.0h2q1cq
0385307756 3 m.04y9jxd
038531258X 4 m.060c1r
0201489392 5 m.04xf0d6
055329220X 6 m.02x0g8g
037540256X 7 m.04fsw6
0691027951 8 m.06j3dct
0307275639 9 m.03q106
0449000869 10 m.04w27p7
0553102354 11 m.045wq2c
0425140989 12 m.04wfrcs
0201021153 13 m.0510v9
0385333951 14 m.0987ls
0060534389 15 m.045wphj
046508995X 16 m.02p6rw
0465069592 17 m.04whkhn
0140265686 18 m.03d4n37
0061374199 19 m.0bmjc2n
006092988X 20 m.04wxr8
0449213323 21 m.04wcbc9
0345383958 22 m.04w2lgx
0340831421 23 m.045wq1y
0143142372 24 m.04g88q
0140263640 25 m.066vlkr
0140143505 26 m.03lzhc
0380703475 27 m.043s9j9
0553386018 28 m.045wq2l
0449222276 29 m.06g14bg
0385488440 30 m.04t0zps
0061998850 31 m.0bmcg0m
0060975776 32 m.06l84yl
0385313861 33 m.05qhh7_
0375411690 34 m.03y80t
0375726411 35 m.065wtbp
0345409469 36 m.02khnq
002907052X 37 m.06ntw0g
0345361326 38 m.05qcx0n
0812530756 39 m.09hs7f
0684872870 40 m.05zdffh
0312242646 41 m.0btffv
0586217460 42 m.01ylw1
0312626681 43 m.01c596
1582345929 44 m.0blvkh
0375725601 45 m.0h0tgk
0156001373 46 m.04w2lmd
1401213863 47 m.07s3gx8
0972854525 48 m.06f6q7s
0743241924 49 m.03qhk27
0811871002 50 m.09gn1wf
0226096262 51 m.05yr_t8
0385422938 52 m.02q24xw
0007205236 53 m.01kdyy
0671447548 54 m.045rmwt
0345802896 55 m.04ckbf
0449206238 56 m.04w76gq
044661095X 57 m.0cc2wg
042518465X 58 m.06cyr9s
0307278441 59 m.05_42p
0312206097 60 m.0dhvsm
0399146253 61 m.07cfhk3
0399146164 62 m.04w50v4
0425150070 63 m.03cc1l9
031216842X 64 m.06jwnjh
0786866756 65 m.030r9w
0571198775 66 m.07c968
0449208281 67 m.0w2l376
0739425005 68 m.08c4hq
0842317872 69 m.0bvpkf
044918336X 70 m.04whg3h
075820230X 71 m.06mltjf
0758219725 72 m.06lbpcv
0842387153 73 m.04t25sy
0380709171 74 m.0cqmmy
0395137195 75 m.0fb0wf
0758216009 76 m.04w773s
0380795973 77 m.0681b2j
0380795981 78 m.06g9vgq
0312970633 79 m.04w6wwh
0783814879 80 m.04w7738
0394890485 81 m.06lgkb
034542719X 82 m.0bq2nx
0425179451 83 m.06g80mt
0758218583 84 m.06kdzc8
042514545X 85 m.06fx32r
0345427203 86 m.02qpynw
0394890493 87 m.06lpd5
0439216486 88 m.026vg9x
0849942411 89 m.03clntq
0380817187 90 m.06qh6m5
0553275852 91 m.02r5b8b
0061009059 92 m.098ts0
0399144315 93 m.065qgr3
